"service_unit","course","formal_name","meal","portion_size"
"Driscoll Dining Hall","* Special Notice *","CLOSED","BREAKFAST","Each"
"Driscoll Dining Hall","* Special Notice *","CLOSED","LUNCH","Each"
"Driscoll Dining Hall","* Special Notice *","CLOSED","DINNER","Each"
"Driscoll Dining Hall","* Special Notice *","CLOSED","BRUNCH","Each"
"Mission Dining Hall","* Special Notice *","CLOSED","BREAKFAST","Each"
"Mission Dining Hall","* Special Notice *","CLOSED","LUNCH","Each"
"Mission Dining Hall","* Special Notice *","CLOSED","DINNER","Each"
"Mission Dining Hall","* Special Notice *","CLOSED","BRUNCH","Each"
"Eco-Cafe","Desserts Williams' Bakeshop","Knock You Naked Bar","WILLIAMS' BAKESHOP","Each"
"Paresky Whitmans Market","* Special Notice *","CLOSED","BREAKFAST","Each"
"Paresky Whitmans Market","* Special Notice *","CLOSED","LUNCH","Each"
"Paresky Whitmans Market","* Special Notice *","CLOSED","DINNER","Each"
"Paresky Whitmans Market","* Special Notice *","CLOSED","BRUNCH","Each"
"Paresky Grab N Go","Desserts Williams' Bakeshop","Knock You Naked Bar","WILLIAMS' BAKESHOP","Each"
