"service_unit","course","formal_name","meal","portion_size"
"Faculty House","Entrees","Local CF Fried Eggs GF","BREAKFAST","1 Egg"
"Faculty House","Entrees","CageFree Scrambled Eggs GF","BREAKFAST","2 eggs"
"Faculty House","Entrees","Egg Whites GF","BREAKFAST","2 eggs"
"Faculty House","Entrees","Cream of Wheat V","BREAKFAST","4 oz"
"Faculty House","Entrees","Ham GF","BREAKFAST","3 oz"
"Faculty House","","Local Hard Boil Eggs GF","BREAKFAST","1 egg"
"Faculty House","Starch","Hash Brown Potatoes GF","BREAKFAST","4 oz."
"Faculty House","Fruits","Fresh Fruit Salad GF","BREAKFAST","Cup"
"Faculty House","Deli","Mushroom Gravy","DINNER","2 oz"
"Faculty House","Deli","Cooked Roast Beef GF","DINNER","2.5 oz"
"Faculty House","Starch","Mashed Potatoes GF","DINNER","3 oz"
"Faculty House","Starch","Wild Rice Pilaf GF V","DINNER","4 oz."
"Faculty House","Starch","Organic Quinoa GF V","DINNER","Cup"
"Faculty House","Entrees","Stir Fried Noodles w/ Veggies","DINNER","1/2 CUP"
"Faculty House","Vegetables","Fresh Kale GF V","DINNER","4 oz"
"Faculty House","Vegetables","Peas GF V","DINNER","4 oz"
"Faculty House","Breads Williams' Bakeshop","BISCOTTI  BKS","DINNER","Each"
"Faculty House","Desserts Williams' Bakeshop","Vegan Pumpkin Donut","WILLIAMS' BAKESHOP","Each"
"Faculty House","Desserts Williams' Bakeshop","Chocolate Cupcake","WILLIAMS' BAKESHOP","Each"
"Faculty House","Breads Williams' Bakeshop","Round White Bread","WILLIAMS' BAKESHOP","Slice"
"Faculty House","Desserts Williams' Bakeshop","Jelly Donut","WILLIAMS' BAKESHOP","Each"
"Faculty House","Desserts Williams' Bakeshop","Blueberry Fruit Bar","WILLIAMS' BAKESHOP","Each"
"Faculty House","","Tofu GF V","LUNCH","3 oz."
"Faculty House","Soups","Tortilla Soup GF V","LUNCH","Cup"
"Faculty House","Starch","Spanish Rice GF V","LUNCH","4 oz."
"Faculty House","Entrees","Taco Beef  GF","LUNCH","3 oz."
"Faculty House","Entrees","Nacho Bar","LUNCH","Each"
"Faculty House","Entrees","Chicken Fajita  Gf","LUNCH","3 oz"
"Faculty House","Entrees","Spicy Black Beans GF V","LUNCH","4 oz"
"Faculty House","Condiments","Guacamole GF","LUNCH","Tablespoon"
"Faculty House","Condiments","Black Bean & Cilantro Salsa GF V","LUNCH","Teaspoon"
"Faculty House","Sauces","Citrus Salsa Sauce GF V","LUNCH","Teaspoon"
"Faculty House","Vegetables","Italian Green Beans GF V","LUNCH","3 OZ."
"Paresky Whitmans Market","Fruits","Fresh Strawberries GF V","BREAKFAST","4oz"
"Paresky Whitmans Market","Upon Request","Gluten Free Oatmeal V","BREAKFAST","4 oz"
"Paresky Whitmans Market","Fruits","Fresh Fruit Salad GF","BREAKFAST","Cup"
"Paresky Whitmans Market","Grill","Breakfast Sausage Links GF","BREAKFAST","2 Links"
"Paresky Whitmans Market","Grill","CageFree Scrambled Eggs GF","BREAKFAST","2 eggs"
"Paresky Whitmans Market","Grill","Scrambled Egg Whites GF","BREAKFAST","2 eggs"
"Paresky Whitmans Market","Pasta Wok","French Toast","BREAKFAST","Slice"
"Paresky Whitmans Market","Grill","Potato Lyonnaise GF V","BREAKFAST","4 oz."
"Paresky Whitmans Market","Grill","Local CF Fried Eggs GF","BREAKFAST","1 Egg"
"Paresky Whitmans Market","Tepnyaki Vegan Station","Zucchini Pancakes V","BREAKFAST","Each"
"Paresky Whitmans Market","Pasta Wok","Spinach & Cheese Omelet GF","BREAKFAST","2 egg"
"Paresky Whitmans Market","Fresh Local","Fresh Local Gala Apple GF V","BREAKFAST","Each"
"Paresky Whitmans Market","Halal On Request","Halal Hamburger Patty","LUNCH","4 oz."
"Paresky Whitmans Market","Pasta Wok","Gluten Free Pizza Crust","LUNCH","Each"
"Paresky Whitmans Market","Soups","Italian Bean Soup GF V","LUNCH","6 oz."
"Paresky Whitmans Market","Grill","Fresh Local Kale GF V","LUNCH","EACH"
"Paresky Whitmans Market","Grill","French Fries","LUNCH","4 oz"
"Paresky Whitmans Market","Soups","Beef Barley Soup","LUNCH","cup"
"Paresky Whitmans Market","Pasta Wok","Vegetable Pizza","LUNCH","Slice"
"Paresky Whitmans Market","Pasta Wok","Pepperoni Pizza","LUNCH","Slice"
"Paresky Whitmans Market","Tepnyaki Vegan Station","Local Black Bean Burger GF V","LUNCH","3.4 oz."
"Paresky Whitmans Market","Pasta Wok","Cheese Pizza","LUNCH","Slice"
"Paresky Whitmans Market","Grill","Hamburger","LUNCH","Sandwich"
"Paresky Whitmans Market","Grill","Cheeseburger","LUNCH","Sandwich"
"Paresky Whitmans Market","Tepnyaki Vegan Station","French Fries","LUNCH","4 oz"
"Paresky Whitmans Market","Grill","Tomatoes & Lettuce GF V","LUNCH","4 oz"
"Paresky Whitmans Market","Tepnyaki Vegan Station","Tomatoes & Lettuce GF V","LUNCH","4 oz"
"Paresky Whitmans Market","Fresh Local","Fresh Local Gala Apple GF V","LUNCH","Each"
"Paresky Whitmans Market","Halal On Request","Halal Hamburger Patty","DINNER","4 oz."
"Paresky Whitmans Market","Grill","Fresh Mixed Vegetables GF V","DINNER","1/2 CUP"
"Paresky Whitmans Market","Soups","Italian Bean Soup GF V","DINNER","6 oz."
"Paresky Whitmans Market","Pasta Wok","Organic Whole Wheat Penne","DINNER","6 oz"
"Paresky Whitmans Market","Pasta Wok","Gluten Free Penne V","DINNER","6 oz"
"Paresky Whitmans Market","Grill","Roasted Pork Loin GF","DINNER","5 oz."
"Paresky Whitmans Market","Soups","Beef Barley Soup","DINNER","cup"
"Paresky Whitmans Market","Tepnyaki Vegan Station","Brown Rice GF V","DINNER","4 oz."
